wave,label,run_id,synthetic,expected_failure,status,batch_size,segment_count,records_per_segment,record_count,rows_per_second,bytes_per_second,segments_per_second,average_seconds_per_segment,dominant_bottleneck,s3_read_ms,normalize_ms,stage_ms,merge_ms,audit_ms,validation_ms,clickhouse_query_count,clickhouse_client_process_count,clickhouse_query_wall_ms,loader_peak_rss_kb_max,replay_wall_ms,replay_new_canonical_event_rows,replay_new_leg_rows,error_type,error_message
batch-size-sweep,batch-1000,stress-batch-1000-20260416t112926z,True,False,passed,1000,10,10000,100000,1356.1,31368.64,0.1356,7.3741,stage_insert,1590,2749,46219,13577,1854,2571,330,330,63997,75956,71080,0,0,,
batch-size-sweep,batch-5000,stress-batch-5000-20260416t112926z,True,False,passed,5000,10,10000,100000,2393.2,55358.5,0.2393,4.1785,merge,1213,2607,13810,14004,1958,2735,170,170,32683,122816,38275,0,0,,
batch-size-sweep,batch-10000,stress-batch-10000-20260416t112926z,True,False,passed,10000,10,10000,100000,2721.83,62960.13,0.2722,3.674,merge,1103,2556,9929,13554,1962,2623,150,150,28013,170616,34146,0,0,,
batch-size-sweep,batch-25000,stress-batch-25000-20260416t112926z,True,False,passed,25000,10,10000,100000,2771.39,64106.5,0.2771,3.6083,merge,1360,2621,9429,13200,1857,2601,150,150,27100,171524,33081,0,0,,
batch-size-sweep,batch-50000,stress-batch-50000-20260416t112926z,True,False,passed,50000,10,10000,100000,2569.04,59425.95,0.2569,3.8925,merge,1118,2719,10401,14179,1985,3073,150,150,29633,171640,34478,0,0,,
segment-count-sweep,segments-10,stress-segments-10-20260416t112926z,True,False,passed,10000,10,10000,100000,2510.1,58062.58,0.251,3.9839,merge,1140,2787,10457,14774,2044,2932,150,150,30101,171632,33142,0,0,,
segment-count-sweep,segments-50,stress-segments-50-20260416t112926z,True,False,passed,10000,50,10000,500000,2564.62,59324.3,0.2565,3.8992,merge,6443,13641,50917,74085,10188,14126,750,750,149739,178368,189550,0,0,,
segment-count-sweep,segments-100,stress-segments-100-20260416t112926z,True,False,passed,10000,100,10000,1000000,2449.65,56665.13,0.245,4.0822,merge,12257,29310,106917,157582,20341,29400,1500,1500,314947,179676,386080,0,0,,
segment-size-sweep,segment-size-10000,stress-segsize-10000-20260416t112926z,True,False,passed,10000,10,10000,100000,2425.48,56105.05,0.2425,4.1229,merge,1155,3094,10866,15309,1990,3041,150,150,31516,162604,34521,0,0,,
segment-size-sweep,segment-size-50000,stress-segsize-50000-20260416t112926z,True,False,passed,10000,10,50000,500000,5244.66,121177.82,0.1049,9.5335,stage_insert,1604,12864,48133,18685,1813,2721,230,230,60343,195340,87008,0,0,,
segment-size-sweep,segment-size-100000,stress-segsize-100000-20260416t112926z,True,False,passed,10000,10,100000,1000000,5625.78,129961.26,0.0563,17.7753,stage_insert,1799,26876,99912,28659,1914,2784,330,330,108148,222660,167326,0,0,,
segment-size-sweep,segment-size-250000,stress-segsize-250000-20260416t112926z,True,False,passed,10000,10,250000,2500000,5797.38,133915.14,0.0232,43.1229,stage_insert,1843,73901,257433,55909,2133,3140,630,630,248378,305008,408300,0,0,,
replay-fault,medium-initial,stress-replay-medium-20260416t112926z,True,False,passed,10000,10,10000,100000,2834.39,65563.76,0.2834,3.5281,merge,1134,2443,9076,13410,1790,2492,150,150,26958,162496,32207,0,0,,
replay-fault,medium-restart-replay,stress-replay-medium-20260416t112926z,True,False,passed,10000,10,10000,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,35925,0,0,,
replay-fault,medium-missing-ledger-row,stress-replay-medium-20260416t112926z,True,False,passed,10000,10,10000,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
replay-fault,medium-corrupted-segment,stress-corrupt-20260416t112926z,True,True,passed,10000,10,10000,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,RuntimeError,segment sha256 mismatch for stress-corrupt-20260416t112926z-seg-000002: expected 34c83a6a276a3e4126bab19958f96e4635555644ca1732b1339186a3bb8aafc0 got 1774b0a2420357a368070ab9c3a8f1f3421854b0c700861ca745e978fef43aee
real-controlled-slice,real-slice-initial,real-slice-20230901t0000z-20260416t114407z,False,False,passed,10000,0,0,34690,3934.89,358867.63,0.1134,8.816,stage_insert,233,863,4008,2044,194,243,21,21,5664,183132,7194,0,0,,
real-controlled-slice,real-slice-restart-replay,real-slice-20230901t0000z-20260416t114407z,False,False,passed,10000,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,7687,0,0,,
